Regcode;Region;FO;GRP.2013;IFA.2012;ERF.2012;UPC.2012;IRDC.2012
1000;Российская Федерация;NA;54103000,3;12586090;1608,5;94;699869,8
1001;Центральный федеральный округ;ЦФО;19160905,7;2961584;549568,8;94,2;369069,5
31;Белгородская область;ЦФО;569006,4;136820;27565,8;97,5;1261,8
32;Брянская область;ЦФО;219502,8;46551;9965,9;89,2;299,3
33;Владимирская область;ЦФО;306641,4;61013;7216,5;95,1;3486,7
36;Воронежская область;ЦФО;611720,4;182334;15949,5;95,2;6421,8
37;Ивановская область;ЦФО;158228,7;28762;5221,5;94,3;601
40;Калужская область;ЦФО;292841;95970;10272,2;94,7;10397,7
44;Костромская область;ЦФО;139015,9;21169;3209,6;91,4;78,5
46;Курская область;ЦФО;271542,5;66639;9880,7;89,8;2369
48;Липецкая область;ЦФО;315685,4;93327;9802,8;96,8;143
50;Московская область;ЦФО;2545951,5;516872;45228,8;96,7;84645,4
57;Орловская область;ЦФО;164797;40429;5430,1;90,5;379,8
62;Рязанская область;ЦФО;279286,5;66705;9319,9;98,5;1202,4
67;Смоленская область;ЦФО;225887,1;56435;7130,2;95,2;855,5
68;Тамбовская область;ЦФО;236335,9;82921;10163,1;84,6;953,2
69;Тверская область;ЦФО;298669,2;80464;8441,5;90,2;4085,7
71;Тульская область;ЦФО;348034,8;84059;9348;89,7;2041,5
76;Ярославская область;ЦФО;362861,8;81019;9525,5;94,1;4201,1
77;г. Москва;ЦФО;11814897,4;1220097;345897,2;100;245646,1
1002;Северо-Западный федеральный округ;СЗФО;5553389,2;1485413;181615;95,9;100002,7
10;Республика Карелия;СЗФО;178636,2;33947;5642,7;98,7;765,6
11;Республика Коми;СЗФО;482329,9;232222;12448,9;91,3;1827,1
83;Ненецкий автономный округ;СЗФО;173170,2;59024;9093,6;99,5;52,1
29;Архангельская область ;СЗФО;326924,9;;9282,5;96,9;1054,7
35;Вологодская область;СЗФО;346227,6;151023;11976,6;95,2;311,7
39;Калининградская область;СЗФО;275885,8;71757;18389,9;93,3;901,8
47;Ленинградская область;СЗФО;678718,3;330721;4633,6;97;6189,9
51;Мурманская область;СЗФО;306578,7;72449;7429,4;96,1;2383,6
53;Новгородская область;СЗФО;178818,1;45000;5202,1;98,2;1391,5
60;Псковская область;СЗФО;114676,2;33664;96330,9;93,4;173,2
78;г. Санкт-Петербург;СЗФО;2491423,3;352116;1184,8;98,1;84951,5
1003;Южный федеральный округ;ЮФО;3574075,7;1254958;111576,1;90,8;18618
1;Республика Адыгея;ЮФО;70862,3;16904;1944,5;98,3;161,5
8;Республика Калмыкия;ЮФО;41165,9;13825;1269,1;94,1;76,8
23;Краснодарский край;ЮФО;1662969,1;798476;66093,9;96,1;4817,6
30;Астраханская область;ЮФО;273917,1;81665;4692,6;90,4;572,9
34;Волгоградская область;ЮФО;607472,2;136154;15846,3;84,8;3669,5
61;Ростовская область;ЮФО;917689,1;207935;21729,7;90,2;9319,7
1004;Северо-Кавказский федеральный округ;СКФО;1397672,6;402809;57879,4;96,3;3448,1
5;Республика Дагестан;СКФО;452882,2;152733;13634,7;98,9;872,3
6;Республика Ингушетия ;СКФО;45766,7;14777;4583,8;98,4;40,6
7;Кабардино-Балкарская Республика;СКФО;110971,5;25652;4758,5;99,1;552,7
9;Карачаево-Черкесская Республика;СКФО;66106,6;18076;4313,8;85,2;368,3
15;Республика Северная Осетия – Алания;СКФО;118637,5;21851;3010,2;90,3;347
20;Чеченская Республика ;СКФО;122402,8;54400;11213,1;100;139,4
